p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,X_name
美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,美的绿灯侠专卖店,10913792973,,,,,,,,None,,"美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",落地扇,美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇
美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,美的小家电旗舰店,10329448645,,,,,,,,None,,"美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,10329448645, ,7.8kg,中国大陆,21056110000151（FZ10-16BRW）,8小时以上,五档以上,正常风,无叶,3级,遥控式,塔扇",塔扇,美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时
钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,钻石牌非凡专卖店,11846057188,,,,,,,,None,,"钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,11846057188, ,7.0kg,中国大陆,FS-40II F,2小时以下,四档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",落地扇,钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色
戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,戴森官方旗舰店,4840262,,,,,,,,None,,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",落地扇，塔扇，空气循环扇,DYSONTP03白银
凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,凯迪电器旗舰店,11916701938,,,,,,,,None,,"凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,11916701938, ,5.0kg,中国大陆,A14-R,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",落地扇,凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时
QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,QG生活电器旗舰店,10626848028,,,,,,,,None,,"QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,10626848028, ,3.8kg,中国大陆,2-8小时,五档以上,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",落地扇，塔扇，台扇，空气循环扇,QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖
格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,格力智购专卖店,12401990604,,,,,,,,None,,"格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,12401990604, ,2.6kg,中国大陆,KYT-2501,2小时以下,四档调节,正常风、自然风、睡眠风,5片,1级,机械式,转页扇",转页扇,格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色
艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,艾美特旗舰店,10502318585,,,,,,,,None,,"艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,10502318585, ,8.7kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",落地扇,艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA
美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,美的环境电器旗舰店,10988055671,,,,,,,,None,,"美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,10988055671, ,4.1kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇
美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,美的绿灯侠专卖店,11166367999,,,,,,,,None,,"美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,11166367999, ,5.7kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇
戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,戴森官方旗舰店,4071591,,,,,,,,None,,"DYSONTP00白银,4071591,5.42kg,马来西亚,308774-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，空气循环扇",落地扇，塔扇，空气循环扇,DYSONTP00白银
艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗,艾美特旗舰店,11956390126,,,,,,,,None,,"艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗,11956390126, ,3.7kg,FT70R,8小时以上,五档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗
美的 （Midea）FS40-13GR 电风扇/落地扇/智能家用电风扇/遥控风扇,美的护理旗舰店,11167508237,,,,,,,,None,,"美的 （Midea）FS40-13GR 电风扇/落地扇/智能家用电风扇/遥控风扇,11167508237, ,5.5kg,中国大陆,DS070101MD006-JD,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",落地扇,美的 （Midea）FS40-13GR 电风扇/落地扇/智能家用电风扇/遥控风扇
