title,ask,answer,content,time_now,user,href
大金帕能柜机3匹还是三菱MFZ-XEJ72 3匹柜机，选哪个？,大金帕能柜机3匹还是三菱MFZ-XEJ72 3匹柜机，选哪个？过几天要去付款了，价格都一万四，五左右，要求制热效果要好！求教大神！！！,,,2017-1-2 23:52,ufommx,https://www.jdbbs.com/thread-8160561-1-1.html
,,,2016年最后一天定的电机的72，价格1w3。说是1.4电机所有型号都要涨价了。看了帕蒂能的外形实在太大了。不过制热还是帕蒂能好，苏宁价格要15400（白色）,2017-1-3 09:38,mima_y,
,,,制热显然帕地能,2017-1-3 11:14,qqings,
,,,帕蒂能,2017-1-3 13:33,哎哟喂2016,
,,,买了两台电机的75，一个客厅一个卧室。本来要一个帕蒂能的，导购说制冷三菱的好，而且说帕蒂能的出风口不好。,2017-1-3 17:28,104angel,
,,买了两台电机的75，一个客厅一个卧室。本来要一个帕蒂能的，导购说制冷三菱的好，而且说帕蒂能的出风口不好 ...,"萝卜青菜各有所爱。,为了利益，说别人的东西不好。,站在自己的岗位，没有人光顾。请你说告诉我，谁好？",2017-1-3 17:43,南昌雪军,
,,,好的，谢谢各位大神,2017-1-3 18:30,ufommx,
,,,我是15年7月买的xej72，12300元。主要是不能接受帕蒂能的外观。,2017-1-3 20:42,babayano,
,,"萝卜青菜各有所爱。,为了利益，说别人的东西不好。","你可能误会了，我去买的电器商他什么都做，电机大金他都做的。应为和他们老板认识，元旦内购会的时候这个销售一直跟着我们，给我们介绍电器。当天定了差不多15W的电器。我是一直看家电论坛，所以对帕蒂能有好感。就想要一个。,这个导购是推荐电机的机器。 所以他是说自己的东西不好，不是说别人的不好。,定电视的时候，他也不建议我买三星的，最后推荐LG的。",2017-1-4 13:11,104angel,
,,你可能误会了，我去买的电器商他什么都做，电机大金他都做的。应为和他们老板认识，元旦内购会的时候这个 ...,嗯··········,2017-1-4 20:22,南昌雪军,
,,,我也是被他们说都要涨价什么的就脑子一热买了大金,2017-1-13 10:19,沨沨,
,,,帕蒂能用了几年了，很满意,2017-1-13 15:19,yaojian1112,
,,,实在不能接受帕蒂能的外观，我最后买了三菱72xej,2017-1-15 22:18,babayano,
